,team,salary,Player,position,season
1971,Milwaukee Bucks,3.44805,Charlie Villanueva, PF,2008-2009
1972,Sacramento Kings,3.39576,Shelden Williams, C,2008-2009
1973,Philadelphia 76ers,3.388,Willie Green, SG,2008-2009
1974,Milwaukee Bucks,3.35448,Charlie Bell, SG,2008-2009
1975,New Jersey Nets,3.3,Keyon Dooling, PG,2008-2009
1976,Oklahoma City Thunder,3.28764,Jeff Green, SF,2008-2009
1977,New Jersey Nets,3.25,Eduardo Najera, PF,2008-2009
1978,Oklahoma City Thunder,3.24,Chucky Atkins, PG,2008-2009
1979,Boston Celtics,3.206897,Brian Scalabrine, PF,2008-2009
1980,Toronto Raptors,3.2,Kris Humphries, PF,2008-2009
1981,Portland Trail Blazers,3.163769,Channing Frye, F,2008-2009
1982,Minnesota Timberwolves,3.16368,Kevin Love, PF,2008-2009
1983,Houston Rockets,3.100667,Luis Scola, F,2008-2009
1984,Los Angeles Lakers,3.1,Trevor Ariza, SF,2008-2009
1985,Oklahoma City Thunder,3.1,Damien Wilkins, SG,2008-2009
1986,Memphis Grizzlies,3.093333,Marc Gasol, C,2008-2009
1987,Portland Trail Blazers,3.08424,Brandon Roy, SG,2008-2009
1988,Houston Rockets,3.0,Carl Landry, PF,2008-2009
1989,New Jersey Nets,2.98608,Yi Jianlian, SF,2008-2009
1990,San Antonio Spurs,2.978,Matt Bonner, C,2008-2009
1991,Sacramento Kings,2.912823,Ike Diogu, PF,2008-2009
1992,Golden State Warriors,2.9,Kelenna Azubuike, SF,2008-2009
1993,New York Knicks,2.87352,Danilo Gallinari, SF,2008-2009
1994,Minnesota Timberwolves,2.81556,Randy Foye, SG,2008-2009
1995,Los Angeles Lakers,2.7693,Andrew Bynum, C,2008-2009
1996,Washington Wizards,2.739669,Andray Blatche, C,2008-2009
1997,Minnesota Timberwolves,2.72592,Corey Brewer, F,2008-2009
1998,Charlotte Bobcats,2.661027,Sean May, C,2008-2009
1999,Boston Celtics,2.65,Eddie House, SG,2008-2009
2000,Houston Rockets,2.63448,Steve Francis, PG,2008-2009
2001,Minnesota Timberwolves,2.63,Mark Madsen, PF,2008-2009
2002,LA Clippers,2.6232,Eric Gordon, SG,2008-2009
2003,Sacramento Kings,2.620126,Rashad McCants, SG,2008-2009
2004,Miami Heat,2.612835,Dorell Wright, SF,2008-2009
2005,Memphis Grizzlies,2.5794,Rudy Gay, SF,2008-2009
2006,Orlando Magic,2.565,Keith Bogans, SG,2008-2009
2007,Minnesota Timberwolves,2.5,Craig Smith, PF,2008-2009
2008,Los Angeles Lakers,2.5,Chris Mihm, C,2008-2009
2009,San Antonio Spurs,2.5,Michael Finley, SG,2008-2009
2010,Golden State Warriors,2.49732,Brandan Wright, F,2008-2009
2011,LA Clippers,2.484,Jason Hart, PG,2008-2009
2012,Toronto Raptors,2.449184,Joey Graham, SF,2008-2009
2013,Milwaukee Bucks,2.40312,Joe Alexander, SF,2008-2009
2014,Indiana Pacers,2.329805,Danny Granger, SF,2008-2009
2015,Minnesota Timberwolves,2.3,Sebastian Telfair, PG,2008-2009
2016,LA Clippers,2.3,Ricky Davis, SG,2008-2009
2017,Chicago Bulls,2.29548,Joakim Noah, C,2008-2009
2018,Indiana Pacers,2.27286,Maceo Baston, SF,2008-2009
2019,Oklahoma City Thunder,2.2524,Mouhamed Sene, C,2008-2009
2020,Orlando Magic,2.25,Tyronn Lue, PG,2008-2009
2021,Charlotte Bobcats,2.20896,D.J. Augustin, PG,2008-2009
2022,Sacramento Kings,2.18076,Spencer Hawes, PF,2008-2009
2023,Orlando Magic,2.13972,JJ Redick, SG,2008-2009
2024,Memphis Grizzlies,2.119102,Hakim Warrick, PF,2008-2009
2025,New Jersey Nets,2.09856,Brook Lopez, C,2008-2009
2026,Utah Jazz,2.074302,Jarron Collins, C,2008-2009
2027,Atlanta Hawks,2.07168,Acie Law, PG,2008-2009
2028,New Orleans Hornets,2.0328,Hilton Armstrong, PF,2008-2009
2029,New York Knicks,2.020179,Nate Robinson, PG,2008-2009
2030,Indiana Pacers,2.002623,Jarrett Jack, G,2008-2009
2031,Utah Jazz,2.0,Brevin Knight, PG,2008-2009
2032,Detroit Pistons,2.0,Walter Herrmann Heinrich, PF,2008-2009
2033,Portland Trail Blazers,1.99356,Jerryd Bayless, PG,2008-2009
2034,Sacramento Kings,1.983454,Francisco Garcia, SG,2008-2009
2035,Phoenix Suns,1.9764,Grant Hill, SF,2008-2009
2036,New Orleans Pelicans,1.9764,Eddie Jones, SG,2008-2009
2037,Philadelphia 76ers,1.96812,Thaddeus Young, PF,2008-2009
2038,Miami Heat,1.962378,Luther Head, PG,2008-2009
2039,Oklahoma City Thunder,1.939893,Johan Petro, C,2008-2009
2040,Oklahoma City Thunder,1.93116,Thabo Sefolosha, SF,2008-2009
2041,New Jersey Nets,1.91,Jarvis Hayes, SF,2008-2009
2042,Orlando Magic,1.91,Anthony Johnson, PG,2008-2009
2043,Houston Rockets,1.91,Brent Barry, SG,2008-2009
2044,Sacramento Kings,1.89384,Jason Thompson, PF,2008-2009
2045,Detroit Pistons,1.877572,Jason Maxiell, PF,2008-2009
2046,New Orleans Hornets,1.8696,Julian Wright, SF,2008-2009
2047,Utah Jazz,1.83468,Ronnie Brewer, SF,2008-2009
2048,Denver Nuggets,1.824493,Linas Kleiza, SF,2008-2009
2049,Dallas Mavericks,1.8,Antoine Wright, SF,2008-2009
2050,Indiana Pacers,1.79916,Brandon Rush, SG,2008-2009
2051,New York Knicks,1.788033,David Lee, PF,2008-2009
2052,LA Clippers,1.77624,Al Thornton, SF,2008-2009
2053,Houston Rockets,1.768,Chuck Hayes, PF,2008-2009
2054,Sacramento Kings,1.74276,Cedric Simmons, SF,2008-2009
2055,Golden State Warriors,1.70928,Anthony Randolph, SF,2008-2009
2056,Milwaukee Bucks,1.7,Francisco Elson, C,2008-2009
2057,Phoenix Suns,1.7,Goran Dragic, PG,2008-2009
2058,Detroit Pistons,1.68732,Rodney Stuckey, PG,2008-2009
2059,Minnesota Timberwolves,1.65576,Rodney Carney, SG,2008-2009
2060,Golden State Warriors,1.634,Kosta Perovic, C,2008-2009
2061,Phoenix Suns,1.62372,Robin Lopez, C,2008-2009
2062,Indiana Pacers,1.62,Travis Diener, PG,2008-2009
2063,Washington Wizards,1.60296,Nick Young, G,2008-2009
2064,Dallas Mavericks,1.6,Devean George, SF,2008-2009
2065,Dallas Mavericks,1.57296,Shawne Williams, SF,2008-2009
2066,Memphis Grizzlies,1.572221,Hamed Haddadi, C,2008-2009
2067,Philadelphia 76ers,1.5426,Marreese Speights, F,2008-2009
2068,New Jersey Nets,1.52292,Sean Williams, PF,2008-2009
2069,Atlanta Hawks,1.5,Ronald Murray, SG,2008-2009
2070,Dallas Mavericks,1.5,J.J. Barea, PG,2008-2009
2071,Indiana Pacers,1.46544,Roy Hibbert, C,2008-2009
2072,Golden State Warriors,1.44672,Marco Belinelli, G,2008-2009
2073,Washington Wizards,1.44672,Oleksiy Pecherov, C,2008-2009
2074,Toronto Raptors,1.42704,Quincy Douby, SG,2008-2009
2075,San Antonio Spurs,1.410441,Drew Gooden, PF,2008-2009
2076,Washington Wizards,1.39224,JaVale McGee, C,2008-2009
2077,Memphis Grizzlies,1.38156,Javaris Crittenton, PG,2008-2009
2078,Denver Nuggets,1.36992,Renaldo Balkman, SF,2008-2009
2079,Cleveland Cavaliers,1.32948,JJ Hickson, C,2008-2009
2080,Washington Wizards,1.32636,Jason Smith, PF,2008-2009
2081,Sacramento Kings,1.319651,Calvin Booth, C,2008-2009
2082,Boston Celtics,1.31508,Rajon Rondo, PG,2008-2009
2083,Milwaukee Bucks,1.3,Malik Allen, PF,2008-2009
2084,Charlotte Bobcats,1.27632,Alexis Ajinca, C,2008-2009
2085,Miami Heat,1.2732,Daequan Cook, SG,2008-2009
2086,Golden State Warriors,1.26252,Marcus Williams, PG,2008-2009
2087,LA Clippers,1.262275,Brian Skinner, PF,2008-2009
2088,San Antonio Spurs,1.262275,Jacque Vaughn, PG,2008-2009
2089,Toronto Raptors,1.25,Roko-Leni Ukic, PG,2008-2009
2090,New Jersey Nets,1.2252,Ryan Anderson, PF,2008-2009
2091,Charlotte Bobcats,1.22232,Jared Dudley, SF,2008-2009
2092,New Jersey Nets,1.21212,Josh Boone, C,2008-2009
2093,Oklahoma City Thunder,1.2,Joe Smith, PF,2008-2009
2094,Utah Jazz,1.188,Ronnie Price, PG,2008-2009
2095,Utah Jazz,1.17624,Kosta Koufos, C,2008-2009
2096,Orlando Magic,1.17624,Courtney Lee, SG,2008-2009
2097,New York Knicks,1.17348,Wilson Chandler, SF,2008-2009
2098,Memphis Grizzlies,1.16352,Kyle Lowry, PG,2008-2009
2099,Portland Trail Blazers,1.08408,Rudy Fernandez, SG,2008-2009
2100,Utah Jazz,1.08144,Morris Almond, SG,2008-2009
2101,San Antonio Spurs,1.08,Ime Udoka, SG,2008-2009
2102,Los Angeles Lakers,1.08,Jordan Farmar, PG,2008-2009
2103,Houston Rockets,1.04556,Aaron Brooks, G,2008-2009
2104,New Jersey Nets,1.04244,Maurice Ager, SF,2008-2009
2105,Portland Trail Blazers,1.04064,Nicolas Batum, SF,2008-2009
2106,New York Knicks,1.03476,Mardy Collins, PG,2008-2009
2107,Detroit Pistons,1.01544,Arron Afflalo, G,2008-2009
2108,San Antonio Spurs,1.0062,George Hill, PG,2008-2009
2109,Phoenix Suns,1.00188,Alando Tucker, SF,2008-2009
2110,Houston Rockets,0.998581,Loren Woods, C,2008-2009
2111,New Orleans Hornets,0.998398,Melvin Ely, C,2008-2009
2112,New Orleans Hornets,0.998398,Devin Brown, SG,2008-2009
2113,Memphis Grizzlies,0.97716,Darrell Arthur, F,2008-2009
2114,Charlotte Bobcats,0.972581,Ryan Hollins, C,2008-2009
2115,Miami Heat,0.972581,Chris Quinn, PG,2008-2009
2116,Oklahoma City Thunder,0.96408,D.J. White, PF,2008-2009
2117,Boston Celtics,0.95712,J.R. Giddens, SG,2008-2009
2118,Chicago Bulls,0.886517,Chris Richard, PF,2008-2009
2119,Los Angeles Lakers,0.880658,Didier Ilunga-Mbenga, C,2008-2009
2120,Miami Heat,0.875,Yakhouba Diawara, SG,2008-2009
2121,Portland Trail Blazers,0.874,Sergio Rodriguez, PG,2008-2009
2122,Philadelphia 76ers,0.854957,Royal Ivey, PG,2008-2009
2123,Los Angeles Lakers,0.854957,Josh Powell, PF,2008-2009
2124,Oklahoma City Thunder,0.854957,Shaun Livingston, PG,2008-2009
2125,Washington Wizards,0.841,Ian Mahinmi, C,2008-2009
2126,Indiana Pacers,0.826269,Stephen Graham, SF,2008-2009
2127,Atlanta Hawks,0.826269,Salim Stoudamire, SG,2008-2009
2128,Dallas Mavericks,0.826269,Brandon Bass, PF,2008-2009
2129,Houston Rockets,0.8165,Joey Dorsey, PF,2008-2009
2130,Utah Jazz,0.81,Kyrylo Fesenko, C,2008-2009
2131,Sacramento Kings,0.8093,Donte Greene, SF,2008-2009
2132,Oklahoma City Thunder,0.806452,Kyle Weaver, SG,2008-2009
2133,Philadelphia 76ers,0.797581,Donyell Marshall, PF,2008-2009
2134,Miami Heat,0.797581,Luke Jackson, SF,2008-2009
2135,Orlando Magic,0.797581,Jason Williams, PG,2008-2009
2136,Boston Celtics,0.797581,Leon Powe, PF,2008-2009
2137,LA Clippers,0.797581,Paul Davis, C,2008-2009
2138,Miami Heat,0.797581,Jamaal Magloire, C,2008-2009
2139,Toronto Raptors,0.797581,Patrick O'Bryant, C,2008-2009
2140,New Orleans Hornets,0.797581,Sean Marks, PF,2008-2009
2141,Atlanta Hawks,0.797581,Randolph Morris, C,2008-2009
2142,Milwaukee Bucks,0.757,Luc Mbah a Moute, PF,2008-2009
2143,Milwaukee Bucks,0.722517,Ramon Sessions, G,2008-2009
2144,Chicago Bulls,0.722515,Lindsey Hunter, SG,2008-2009
2145,Atlanta Hawks,0.711517,Thomas Gardner, SG,2008-2009
2146,Utah Jazz,0.711517,Mike Harris, SF,2008-2009
2147,Washington Wizards,0.711517,Dominic McGuire, PF,2008-2009
2148,New York Knicks,0.711517,Demetris Nichols, SF,2008-2009
2149,Toronto Raptors,0.711517,Hassan Adams, SF,2008-2009
2150,Toronto Raptors,0.711517,Jamario Moon, SF,2008-2009
2151,Chicago Bulls,0.711517,Aaron Gray, C,2008-2009
2152,Detroit Pistons,0.711517,Will Bynum, PG,2008-2009
2153,Miami Heat,0.7,Mario Chalmers, G,2008-2009
2154,Charlotte Bobcats,0.670906,Dwayne Jones II, PF,2008-2009
2155,San Antonio Spurs,0.631995,Blake Ahearn, G,2008-2009
2156,Detroit Pistons,0.600532,Antonio McDyess, PF,2008-2009
2157,Orlando Magic,0.591148,Jeremy Richardson, SG,2008-2009
2158,Charlotte Bobcats,0.586457,Juwan Howard, PF,2008-2009
2159,Toronto Raptors,0.577073,Jake Voskuhl, C,2008-2009
2160,LA Clippers,0.55,DeAndre Jordan, C,2008-2009
2161,Boston Celtics,0.542114,Henry Walker, SF,2008-2009
2162,Houston Rockets,0.502007,Dikembe Mutombo, C,2008-2009
2163,LA Clippers,0.5,Mike Taylor, PG,2008-2009
2164,LA Clippers,0.459782,Fred Jones, SG,2008-2009
2165,Memphis Grizzlies,0.450399,Darius Miles, SF,2008-2009
2166,Cleveland Cavaliers,0.45,Darnell Jackson, PF,2008-2009
2167,Denver Nuggets,0.442114,Sonny Weems, SG,2008-2009
2168,Oklahoma City Thunder,0.442114,Steven Hill, C,2008-2009
2169,Golden State Warriors,0.442114,Anthony Morrow, SG,2008-2009
2170,Detroit Pistons,0.442114,Walter Sharpe, PF,2008-2009
2171,New York Knicks,0.442114,Joe Crawford, SG,2008-2009
2172,null Unknown,0.442114,Taj McCullough, NA,2008-2009
2173,Toronto Raptors,0.442114,Nathan Jawai, C,2008-2009
2174,Sacramento Kings,0.442114,Bobby Brown, PG,2008-2009
2175,null Unknown,0.442114,Jamaal Tatum, NA,2008-2009
2176,Atlanta Hawks,0.442114,Othello Hunter, SF,2008-2009
2177,Golden State Warriors,0.422725,Jermareo Davidson, PF,2008-2009
2178,San Antonio Spurs,0.299077,Malik Hairston, SG,2008-2009
2179,Phoenix Suns,0.201741,Stromile Swift, PF,2008-2009
2180,Houston Rockets,0.184157,James White, SG,2008-2009
2181,Charlotte Bobcats,0.093624,Dontell Jefferson, SG,2008-2009
2182,Charlotte Bobcats,0.052014,Cartier Martin, PF,2008-2009
2183,Cleveland Cavaliers,0.046917,Trey Johnson, SG,2008-2009
2184,Milwaukee Bucks,0.046917,Eddie Gill, PG,2008-2009
2185,Los Angeles Lakers,23.034375,Kobe Bryant, SF,2009-2010
2186,Milwaukee Bucks,17.04,Michael Redd, SG,2009-2010
2187,Los Angeles Lakers,16.452,Pau Gasol, C,2009-2010
2188,Utah Jazz,16.452,Andrei Kirilenko, SF,2009-2010
2189,Boston Celtics,16.417044,Kevin Garnett, PF,2009-2010
2190,Phoenix Suns,16.378325,Amar'e Stoudemire, C,2009-2010
2191,Houston Rockets,16.378325,Yao Ming, C,2009-2010
2192,Washington Wizards,16.19208,Gilbert Arenas, PG,2009-2010
2193,Orlando Magic,16.12325,Vince Carter, SF,2009-2010
2194,Memphis Grizzlies,16.0,Zach Randolph, PF,2009-2010
2195,Denver Nuggets,15.852511,Kenyon Martin, PF,2009-2010
2196,Miami Heat,23.016,Jermaine O'Neal, C,2009-2010
2197,Miami Heat,15.779912,Dwyane Wade, SG,2009-2010
2198,Toronto Raptors,15.779912,Chris Bosh, PF,2009-2010
2199,Cleveland Cavaliers,15.779912,LeBron James, SF,2009-2010
2200,Denver Nuggets,15.779912,Carmelo Anthony, PF,2009-2010
2201,Orlando Magic,15.20259,Dwight Howard, C,2009-2010
2202,Atlanta Hawks,14.976754,Joe Johnson, G,2009-2010
2203,Philadelphia 76ers,14.858472,Elton Brand, PF,2009-2010
2204,San Antonio Spurs,14.2,Richard Jefferson, F,2009-2010
2205,New Orleans Hornets,13.5205,Chris Paul, PG,2009-2010
2206,Utah Jazz,13.5205,Deron Williams, PG,2009-2010
2207,New York Knicks,22.843124,Tracy McGrady, SG,2009-2010
2208,New Orleans Hornets,13.392,Peja Stojakovic, SF,2009-2010
2209,Phoenix Suns,13.333332,Jason Richardson, SG,2009-2010
2210,Phoenix Suns,13.125,Steve Nash, PG,2009-2010
2211,San Antonio Spurs,12.6,Tony Parker, PG,2009-2010
2212,Los Angeles Lakers,12.5,Andrew Bynum, C,2009-2010
2213,Utah Jazz,12.3239,Carlos Boozer, PF,2009-2010
2214,Chicago Bulls,12.25,Brad Miller, C,2009-2010
2215,Philadelphia 76ers,12.2,Andre Iguodala, SG,2009-2010
2216,Dallas Mavericks,12.1155,Erick Dampier, C,2009-2010
2217,LA Clippers,12.1,Baron Davis, PG,2009-2010
2218,San Antonio Spurs,22.18322,Tim Duncan, C,2009-2010
2219,Denver Nuggets,12.1,Chauncey Billups, PG,2009-2010
2220,Cleveland Cavaliers,21.0,Shaquille O'Neal, C,2009-2010
2221,Dallas Mavericks,19.795714,Dirk Nowitzki, PF,2009-2010
2222,Boston Celtics,19.795712,Paul Pierce, SF,2009-2010
2223,Boston Celtics,18.77686,Ray Allen, SG,2009-2010
2224,Orlando Magic,18.010791,Rashard Lewis, PF,2009-2010
2225,Philadelphia 76ers,12.025694,Samuel Dalembert, C,2009-2010
2226,Minnesota Timberwolves,12.0,Al Jefferson, C,2009-2010
2227,Charlotte Bobcats,11.7,Tyson Chandler, C,2009-2010
2228,Washington Wizards,11.641095,Antawn Jamison, PF,2009-2010
2229,Detroit Pistons,11.375,Richard Hamilton, SG,2009-2010
2230,New Jersey Nets,11.242666,Bobby Simmons, SF,2009-2010
2231,Indiana Pacers,11.047619,Troy Murphy, PF,2009-2010
2232,Golden State Warriors,11.0,Monta Ellis, SG,2009-2010
2233,Washington Wizards,10.89,Josh Howard, SF,2009-2010
2234,Atlanta Hawks,10.8,Josh Smith, PF,2009-2010
2235,New Orleans Hornets,10.7975,Emeka Okafor, C,2009-2010
2236,San Antonio Spurs,10.72813,Manu Ginobili, G,2009-2010
2237,Denver Nuggets,10.52,Nene Hilario, C,2009-2010
2238,New York Knicks,10.500423,Eddy Curry, C,2009-2010
2239,LA Clippers,10.4,Chris Kaman, C,2009-2010
2240,Chicago Bulls,10.365,Luol Deng, SF,2009-2010
2241,Detroit Pistons,10.32438,Tayshaun Prince, SF,2009-2010
2242,Indiana Pacers,10.1305,Danny Granger, SF,2009-2010
2243,New York Knicks,10.026875,Al Harrington, PF,2009-2010
2244,Milwaukee Bucks,10.0,Andrew Bogut, C,2009-2010
2245,Detroit Pistons,10.0,Ben Gordon, SG,2009-2010
2246,Indiana Pacers,9.780992,Mike Dunleavy, SG,2009-2010
2247,Washington Wizards,9.78097,Caron Butler, SF,2009-2010
2248,Washington Wizards,9.780937,Mike Miller, SG,2009-2010
2249,Sacramento Kings,9.68017,Kevin Martin, SG,2009-2010
2250,LA Clippers,9.5,Cuttino Mobley, SG,2009-2010
2251,Charlotte Bobcats,9.5,Gerald Wallace, SF,2009-2010
2252,Chicago Bulls,9.5,Kirk Hinrich, SG,2009-2010
2253,Atlanta Hawks,9.36,Jamal Crawford, SG,2009-2010
2254,Portland Trail Blazers,9.15,Marcus Camby, C,2009-2010
2255,Dallas Mavericks,9.075,Jason Terry, G,2009-2010
2256,New Orleans Hornets,9.075,David West, F,2009-2010
2257,Golden State Warriors,9.0,Andris Biedrins, C,2009-2010
2258,Charlotte Bobcats,9.0,Boris Diaw, C,2009-2010
2259,Toronto Raptors,9.0,Hedo Turkoglu, SF,2009-2010
2260,Golden State Warriors,8.937931,Corey Maggette, SF,2009-2010
2261,Cleveland Cavaliers,8.86,Mo Williams, PG,2009-2010
2262,Sacramento Kings,8.775,Kenny Thomas, PF,2009-2010
2263,Miami Heat,8.7,Quentin Richardson, SF,2009-2010
2264,Indiana Pacers,8.5,T.J. Ford, PG,2009-2010
2265,Dallas Mavericks,6.635068,Shawn Marion, SG,2009-2010
2266,New Jersey Nets,6.6066,Tony Battie, C,2009-2010
2267,Philadelphia 76ers,6.6,Antonio Daniels, PG,2009-2010
2268,Phoenix Suns,6.6,Leandro Barbosa, G,2009-2010
2269,Chicago Bulls,6.6,Jerome James, C,2009-2010
2270,Toronto Raptors,6.527491,Andrea Bargnani, C,2009-2010
2271,Milwaukee Bucks,6.5,Luke Ridnour, PG,2009-2010
2272,Detroit Pistons,6.5,Charlie Villanueva, PF,2009-2010
2273,New York Knicks,6.4666,Jared Jeffries, PF,2009-2010
2274,Charlotte Bobcats,6.4666,Nazr Mohammed, C,2009-2010
2275,Charlotte Bobcats,6.4666,Vladimir Radmanovic, SF,2009-2010
2276,Milwaukee Bucks,6.429151,John Salmons, SF,2009-2010
2277,Cleveland Cavaliers,6.363636,Anderson Varejao, C,2009-2010
2278,Oklahoma City Thunder,6.25,Nick Collison, F,2009-2010
2279,Atlanta Hawks,6.217617,Mike Bibby, PG,2009-2010
2280,Philadelphia 76ers,6.21296,Jason Kapono, SG,2009-2010
2281,Denver Nuggets,6.171426,JR Smith, SG,2009-2010
2282,Indiana Pacers,6.0775,Jeff Foster, PF,2009-2010
2283,New York Knicks,6.0318,Chris Duhon, PG,2009-2010
2284,New Orleans Hornets,6.0318,James Posey, SF,2009-2010
2285,Charlotte Bobcats,6.0318,DeSagana Diop, C,2009-2010
2286,New Jersey Nets,8.4,Devin Harris, PG,2009-2010
2287,Toronto Raptors,8.219009,Jose Calderon, PG,2009-2010
2288,Dallas Mavericks,8.1,Jason Kidd, PG,2009-2010
2289,Orlando Magic,8.1,Jameer Nelson, G,2009-2010
2290,Miami Heat,7.967375,Mark Blount, C,2009-2010
2291,Oklahoma City Thunder,7.906088,Etan Thomas, C,2009-2010
2292,Utah Jazz,7.692932,Paul Millsap, PF,2009-2010
2293,Charlotte Bobcats,7.65,Stephen Jackson, SF,2009-2010
2294,New York Knicks,7.54,Darko Milicic, C,2009-2010
2295,Sacramento Kings,7.5,Andres Nocioni, SF,2009-2010
2296,Atlanta Hawks,7.5,Marvin Williams, PF,2009-2010
2297,Los Angeles Lakers,7.5,Lamar Odom, PF,2009-2010
2298,Brooklyn Nets,7.1,Marko Jaric, PG,2009-2010
2299,Miami Heat,7.1,Udonis Haslem, PF,2009-2010
2300,New York Knicks,7.0,David Lee, PF,2009-2010
2301,Houston Rockets,6.9392,Shane Battier, SF,2009-2010
2302,Portland Trail Blazers,6.857725,Joel Przybilla, C,2009-2010
2303,Milwaukee Bucks,6.74926,Dan Gadzuric, C,2009-2010
2304,Portland Trail Blazers,6.7308,Andre Miller, PG,2009-2010
2305,Washington Wizards,6.0,Brendan Haywood, C,2009-2010
2306,Boston Celtics,5.854,Rasheed Wallace, PF,2009-2010
2307,Houston Rockets,5.854,Trevor Ariza, SF,2009-2010
2308,Orlando Magic,5.854,Marcin Gortat, C,2009-2010
2309,Portland Trail Blazers,5.844827,LaMarcus Aldridge, PF,2009-2010
2310,New Orleans Hornets,5.8,Morris Peterson, SG,2009-2010
2311,Sacramento Kings,5.8,Francisco Garcia, SG,2009-2010
2312,Charlotte Bobcats,5.501196,Raymond Felton, PG,2009-2010
2313,Portland Trail Blazers,5.36124,Greg Oden, C,2009-2010
2314,Orlando Magic,5.3,Mickael Pietrus, SF,2009-2010
2315,Los Angeles Lakers,5.257229,Adam Morrison, SF,2009-2010
2316,Charlotte Bobcats,5.25,Raja Bell, SG,2009-2010
2317,Atlanta Hawks,5.209454,Speedy Claxton, PG,2009-2010
2318,Chicago Bulls,5.18448,Derrick Rose, PG,2009-2010
2319,Utah Jazz,5.163636,Kyle Korver, SG,2009-2010
2320,Oklahoma City Thunder,5.160832,Nenad Krstic, C,2009-2010
2321,Los Angeles Lakers,5.048,Derek Fisher, PG,2009-2010
2322,Los Angeles Lakers,5.0,Sasha Vujacic, SG,2009-2010
2323,Detroit Pistons,5.0,Jason Maxiell, PF,2009-2010
2324,New York Knicks,5.0,Nate Robinson, PG,2009-2010
2325,Toronto Raptors,5.0,Jarrett Jack, G,2009-2010
2326,Detroit Pistons,4.98348,Blake Griffin, PF,2009-2010
2327,Philadelphia 76ers,4.9725,Lou Williams, SG,2009-2010
2328,Toronto Raptors,4.96,Reggie Evans, C,2009-2010
2329,Los Angeles Lakers,4.84,Luke Walton, SF,2009-2010
2330,Oklahoma City Thunder,4.79688,Kevin Durant, SF,2009-2010
2331,Atlanta Hawks,4.75,Zaza Pachulia, C,2009-2010
2332,Charlotte Bobcats,4.743598,Tyrus Thomas, PF,2009-2010
2333,Dallas Mavericks,4.7,Matt Carroll, SG,2009-2010
2334,Miami Heat,4.6386,Michael Beasley, SF,2009-2010
2335,LA Clippers,4.580735,Drew Gooden, PF,2009-2010
2336,Toronto Raptors,4.553793,Marcus Banks, PG,2009-2010
2337,New Orleans Hornets,4.526,Darius Songaila, PF,2009-2010
2338,San Antonio Spurs,4.5,Antonio McDyess, PF,2009-2010
2339,Boston Celtics,4.5,Kendrick Perkins, C,2009-2010
2340,Memphis Grizzlies,4.45884,Hasheem Thabeet, C,2009-2010
2341,New Jersey Nets,4.35,Trenton Hassell, SF,2009-2010
2342,Portland Trail Blazers,4.344,Martell Webster, SF,2009-2010
2343,Miami Heat,4.33,James Jones, SG,2009-2010
2344,Atlanta Hawks,4.30764,Al Horford, C,2009-2010
2345,Cleveland Cavaliers,4.25425,Delonte West, SG,2009-2010
2346,Memphis Grizzlies,4.16556,O.J. Mayo, SG,2009-2010
2347,Golden State Warriors,4.14,Ronny Turiaf, C,2009-2010
2348,San Antonio Spurs,4.1,Bruce Bowen, SF,2009-2010
2349,Cleveland Cavaliers,4.0885,Daniel Gibson, SG,2009-2010
2350,Memphis Grizzlies,4.080915,Greg Buckner, SG,2009-2010
2351,Oklahoma City Thunder,4.00416,James Harden, PG,2009-2010
2352,Detroit Pistons,4.0,Kwame Brown, C,2009-2010
2353,Orlando Magic,4.0,Brandon Bass, PF,2009-2010
2354,Portland Trail Blazers,4.0,Steve Blake, PG,2009-2010
2355,LA Clippers,3.945,Rasual Butler, SF,2009-2010
2356,Toronto Raptors,3.941667,Amir Johnson, C,2009-2010
2357,Portland Trail Blazers,3.910816,Brandon Roy, SG,2009-2010
2358,Minnesota Timberwolves,3.8925,Ryan Gomes, SF,2009-2010
2359,Washington Wizards,3.883929,DeShawn Stevenson, SG,2009-2010
